Flight Data File,,,,,,,,,,,,,,,,
Test ID (TID),42,,,,,,,,,,,,,,,
Vehicle ID (VID),QC16a,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,modeNumber,acc1,acc2,acc3,angRate1,angRate2,angRate3,batteryVolts,motorCmds1,motorCmds2,motorCmds3,motorCmds4,pos1,pos2,pos3,isBallFlag
2017::124:12:45:09.40,6,-0.57809,0.13647,1.0396,-0.035702,0.030117,0.00048341,4,551.49,552.44,551.41,552.99,0.62075,0.004804,-0.060129,1
2017::124:12:45:09.50,6,0.43502,0.12998,0.97005,0.0047777,0.027987,-0.00058185,4,553.63,550.73,551.62,551.33,0.62075,0.0072417,-0.026272,1
2017::124:12:45:09.60,6,0.02886,-0.80049,0.16999,0.05378,-0.018885,-0.0069734,4,562.87,553.69,563.62,553.3,0.62308,0.012136,-0.0021358,1
2017::124:12:45:09.70,7,-0.22468,0.91772,1.212,0.05591,0.012008,0.019658,4,546.97,574.73,545.13,574.59,0.62454,0.014601,0.012433,1
2017::124:12:45:09.80,7,-0.16044,0.43994,0.39061,0.079346,-0.0583,-0.0048429,4,569.72,563.16,570.49,562.07,0.62721,0.01955,0.022215,1
2017::124:12:45:09.90,7,0.43445,0.60745,1.0277,0.018626,-0.027407,0.017528,4,558.1,585.44,558.97,585.39,0.63143,0.0246,0.029674,1
2017::124:12:45:10.00,7,1.3572,0.39071,1.5402,0.0015819,0.015204,0.0047445,4,570.14,577.88,570.57,577.92,0.63357,0.027142,0.037142,1
2017::124:12:45:10.10,7,0.61329,-0.18748,1.7798,0.044193,0.048227,0.027115,4,554.5,594.32,553.76,593.87,0.6345,0.029637,0.044591,1
2017::124:12:45:10.20,7,-0.060783,-0.23585,0.60385,0.052715,0.016269,0.00048341,4,572.51,571.74,571.7,572.05,0.63636,0.032188,0.049644,1
2017::124:12:45:10.30,7,0.61132,1.5881,0.91279,0.085738,0.010942,0.017528,4,558.75,585.67,558.94,584.13,0.63793,0.03227,0.049745,1
2017::124:12:45:10.40,7,-0.68478,0.077927,-0.13147,-0.0037444,-0.03806,-0.010169,4,583.04,569.72,584.53,568.84,0.63855,0.029871,0.024922,1
2017::124:12:45:10.50,7,-1.1424,-0.57877,-0.10033,-0.098553,-0.01995,-0.0027124,4,585.79,581.26,585.61,581.22,0.64046,0.02746,-0.0099614,1
2017::124:12:45:10.60,7,0.70435,-0.42053,-0.72551,-0.094292,-0.030603,0.006875,4,587.54,597.82,588.13,598.26,0.64014,0.022408,-0.034905,1
2017::124:12:45:10.70,7,1.3068,0.66297,-0.50529,-0.04742,0.025856,0.02605,4,577.01,615.11,576.01,615.41,0.63793,0.019783,-0.057126,1
2017::124:12:45:10.80,7,0.65289,0.13228,-0.86215,-0.030376,-0.010363,-0.019757,4,610.78,581.63,611.12,582.22,0.6373,0.017243,-0.07197,1
2017::124:12:45:10.90,7,0.40177,-0.03037,-0.5794,-0.018658,0.0429,0.010071,4,586.69,600.85,585.66,600.89,0.63636,0.014741,-0.076815,1
2017::124:12:45:11.00,7,0.17503,-2.5658,-0.16019,0.026083,0.0034856,-0.015496,4,601.76,577.31,601.14,578.49,0.63512,0.012246,-0.081598,1
2017::124:12:45:11.10,7,-0.19327,-0.65585,0.23739,0.088934,0.025856,0.0079403,4,580.73,593.24,581.25,592.65,0.63357,0.012215,-0.081368,1
2017::124:12:45:11.20,7,0.12074,0.73488,1.2169,0.061237,0.054618,0.023919,4,567.74,604.32,568.16,602.96,0.63235,0.012204,-0.076257,1
2017::124:12:45:11.30,7,-0.78433,0.55867,-0.26813,-0.014397,0.043966,0.013267,4,573.47,593.05,572.28,591.4,0.63204,0.012211,-0.071287,1
2017::124:12:45:11.40,7,0.66825,-0.13097,-0.42866,-0.048485,-0.041256,-0.0027124,4,585.4,581.8,585.83,582.29,0.62931,0.0097355,-0.066025,1
2017::124:12:45:11.50,7,-0.50435,-0.012019,0.23489,-0.042094,-0.007167,-0.0016471,4,583.52,581.86,583.9,581.69,0.62781,0.0097208,-0.060945,1
2017::124:12:45:11.60,7,-0.71062,0.86007,0.6996,-0.051681,-0.0082323,0.0026139,4,579.66,582.55,578.59,582.77,0.62871,0.009752,-0.05125,1
2017::124:12:45:11.70,7,0.61409,0.99011,0.73316,0.022887,-0.01782,0.022854,4,562.32,596.4,561.85,595.87,0.63082,0.012242,-0.046542,1
2017::124:12:45:11.80,7,-0.054395,0.37163,0.0073662,0.05378,-0.030603,0.0047445,4,574.46,580.03,573.11,581.02,0.62721,0.014619,-0.038872,1
2017::124:12:45:11.90,7,0.048265,-0.51779,0.12218,0.081477,-0.026342,-0.0123,4,589.11,572.5,591.3,573.6,0.62602,0.017046,-0.026578,1
2017::124:12:45:12.00,7,-0.40491,0.061296,0.46002,0.03354,0.069532,-0.0037776,4,581.79,576.12,581.42,575.71,0.62396,0.021866,-0.011866,1
2017::124:12:45:12.10,7,-0.17419,-0.013354,0.55828,-0.0037444,0.030117,-0.025083,4,591.36,554.41,591.93,554.31,0.62191,0.024227,0.00031597,1
2017::124:12:45:12.20,7,-0.28893,-0.8916,0.51488,-0.039963,0.033313,-0.011234,4,579.25,563.73,579.73,562.91,0.62133,0.024206,0.01,1
2017::124:12:45:12.30,7,1.2564,1.4339,1.0223,-0.054877,0.021595,0.006875,4,568.16,578.39,567.23,577.82,0.61931,0.026537,0.01482,1
2017::124:12:45:12.40,7,0.25382,0.53225,0.19609,-0.054877,-0.018885,-0.0027124,4,578.4,574.68,578.68,575.26,0.6176,0.028866,0.014806,1
2017::124:12:45:12.50,7,-1.1721,-1.0851,-0.29954,-0.037833,-0.033799,-0.024018,4,596.82,560.07,595.8,561.12,0.6196,0.033789,0.01723,1
2017::124:12:45:12.60,7,0.80091,0.37774,0.59886,0.039931,-0.044451,0.010071,4,569.28,583.69,568.97,583.8,0.61874,0.036152,0.014812,1
2017::124:12:45:12.70,7,-0.95685,0.13181,-0.6464,0.049519,-0.056169,-0.0080387,4,587.05,575.4,587.45,576.09,0.6196,0.041031,0.014816,1
2017::124:12:45:12.80,7,0.32899,1.502,0.75945,0.088934,0.0066814,0.029246,4,557.52,602.35,558.44,601.17,0.62018,0.045902,0.014818,1
2017::124:12:45:12.90,7,-0.3764,0.73207,0.019335,-0.0016139,-0.013559,-0.015496,4,593.24,571.26,594.22,571.54,0.6176,0.050511,0.019588,1
2017::124:12:45:13.00,7,1.1864,0.70644,0.35948,-0.017593,0.041835,0.0079403,4,573.42,585.51,573.95,585.64,0.61732,0.055274,0.029154,1
2017::124:12:45:13.10,7,-0.74428,-0.85787,-0.53858,-0.02505,0.045031,-0.016561,4,588.03,562.22,587.01,562.26,0.61509,0.059587,0.069587,1
2017::124:12:45:13.20,7,-0.4746,0.34268,0.40734,0.010104,0.021595,0.006875,4,559.84,569.41,558.94,569.04,0.61235,0.063602,0.10245,1
2017::124:12:45:13.30,7,0.6013,-0.23968,1.0132,0.010104,0.013073,-0.0027124,4,559.57,555.19,559.77,555.4,0.61076,0.065277,0.12816,1
2017::124:12:45:13.40,7,-1.0021,-1.5032,-0.45282,-0.034637,-0.0050365,-0.03254,4,583.29,533.44,582.12,534.37,0.6092,0.069229,0.14893,1
2017::124:12:45:13.50,7,-0.78238,-0.25799,0.15786,0.01543,-0.045517,-0.009104,4,566.95,553.66,567.77,553.81,0.60789,0.071112,0.15794,1
2017::124:12:45:13.60,7,-0.2741,-0.074818,0.92698,-0.015462,-0.031668,-0.0048429,4,570.49,563.12,570.5,564,0.60847,0.073335,0.16271,1
2017::124:12:45:13.70,7,-0.19449,0.49817,1.2576,-0.015462,-0.0082323,-0.0059082,4,574.8,566.54,574.92,566.01,0.60769,0.075451,0.16478,1
2017::124:12:45:13.80,7,0.029095,1.5555,0.34029,-0.033572,0.0088119,0.010071,4,565.69,580.87,565.46,580.35,0.60745,0.077628,0.16697,1
2017::124:12:45:13.90,7,-0.041646,-0.58018,-0.28238,-0.06766,-0.029538,-0.019757,4,587.85,557.59,587.35,558.53,0.60585,0.079773,0.16413,1
2017::124:12:45:14.00,7,-1.2603,0.14943,0.16075,-0.0048097,-0.018885,-0.009104,4,581.74,567.12,581.14,567.62,0.60588,0.08442,0.16163,1
2017::124:12:45:14.10,7,0.87124,-0.36999,0.61578,0.027148,-0.018885,0.0015487,4,574.82,577.93,576.06,578.74,0.60245,0.088635,0.15592,1
2017::124:12:45:14.20,7,0.14557,-0.28351,1.8181,0.052715,0.038639,0.0047445,4,571.77,577.8,571.22,578.09,0.59911,0.094996,0.15251,1
2017::124:12:45:14.30,7,0.28838,-0.065091,-0.32315,0.065498,0.024791,-0.0016471,4,579.26,577.59,579.24,576.57,0.59706,0.099442,0.14495,1
2017::124:12:45:14.40,7,0.12662,-0.010594,0.2013,0.029279,-0.028472,-0.010169,4,586.15,570.36,585.99,570.54,0.59401,0.13074,0.13601,1
2017::124:12:45:14.50,7,-0.45807,-0.032417,0.48641,0.03567,-0.047647,-0.011234,4,589.84,572.62,589.64,574.15,0.59273,0.16247,0.12515,1
2017::124:12:45:14.60,7,-0.89148,-0.1492,-0.75654,0.087868,-0.035929,-0.027213,4,601.06,558.78,600.29,560.63,0.58882,0.19994,0.11562,1
2017::124:12:45:14.70,7,0.13242,-0.3433,0.55593,0.16031,0.0077467,-0.0059082,4,584.44,576.06,585.58,576.59,0.5826,0.23142,0.10818,1
2017::124:12:45:14.80,7,0.19674,-0.18785,0.17737,0.12515,0.074858,0.0047445,4,580.59,590.2,582.47,589.2,0.5782,0.2539,0.10584,1
2017::124:12:45:14.90,7,-0.49411,0.61353,0.20308,0.023952,0.088707,0.00048341,4,580.96,583.21,581.62,581.95,0.5708,0.2717,0.10903,1
2017::124:12:45:15.00,7,-0.67392,0.77274,-1.0601,-0.069791,0.012008,-0.026148,4,597.39,559.19,597.94,557.79,0.56824,0.28536,0.10939,1
2017::124:12:45:15.10,7,-1.1912,1.0117,-0.76796,-0.12625,-0.036994,-0.0037776,4,578.04,572.26,577.98,571.21,0.56743,0.28926,0.10891,1
2017::124:12:45:15.20,7,-1.3585,0.37411,-0.88667,-0.14329,-0.088127,-0.011234,4,582.08,563.1,581.61,564.23,0.56696,0.29355,0.10656,1
2017::124:12:45:15.30,7,0.26103,-0.025689,0.0048218,-0.1124,-0.074279,-0.010169,4,584.02,568.94,584.96,569.74,0.56643,0.2935,0.10454,1
2017::124:12:45:15.40,7,1.0782,2.1319,1.2001,-0.0879,-0.00077546,0.027115,4,559.24,601.14,559.83,600.29,0.56699,0.29402,0.10271,1
2017::124:12:45:15.50,7,1.2405,-0.06015,-0.014093,-0.10281,0.0098772,0.0079403,4,573.14,583.35,571.28,584.68,0.56401,0.29457,0.10205,1
2017::124:12:45:15.60,7,-0.48938,-0.99279,-0.60565,0.043127,0.013073,0.0026139,4,576.01,578.12,574.43,579.04,0.5644,0.29758,0.096208,1
2017::124:12:45:15.70,7,-1.1109,0.23068,0.79544,0.12515,-0.026342,-0.010169,4,585.24,569.27,584.96,569.16,0.56093,0.30078,0.087776,1
2017::124:12:45:15.80,7,0.42628,0.36362,-0.76614,0.10598,-0.043386,-0.0048429,4,583.83,577.86,585.67,577.76,0.56063,0.30351,0.080029,1
2017::124:12:45:15.90,7,0.47181,0.27272,0.97024,0.059106,0.045031,0.021789,4,563.28,596.35,562.94,594.39,0.55703,0.30166,0.077682,1
2017::124:12:45:16.00,7,0.064137,0.044274,-0.51946,-0.017593,-0.023146,-0.0069734,4,585.3,575.31,586.71,575.97,0.5501,0.29582,0.075065,1
2017::124:12:45:16.10,7,1.5431,2.7208,1.3582,-0.014397,0.10256,0.040963,4,547.89,610.83,549.21,609.13,0.54465,0.2881,0.080156,1
2017::124:12:45:16.20,7,0.4461,1.0996,0.31144,-0.077248,0.10469,0.021789,4,564.61,597.87,564.71,596.82,0.53714,0.27728,0.084993,1
